Source,Target,Weight,Type
3,6,2186.0,Undirected
3,7,11604.0,Undirected
3,8,991.0,Undirected
3,9,10259.0,Undirected
3,10,354.0,Undirected
3,11,7366.0,Undirected
3,13,4469.0,Undirected
3,14,44768.0,Undirected
3,15,376246.0,Undirected
3,16,11.0,Undirected
3,17,394.0,Undirected
3,18,94.0,Undirected
3,19,44769.0,Undirected
3,21,1177.0,Undirected
3,22,296232.0,Undirected
3,23,4611.0,Undirected
3,25,576.0,Undirected
3,26,73.0,Undirected
3,27,34923.0,Undirected
3,28,1.0,Undirected
3,29,507.0,Undirected
3,30,51472.0,Undirected
3,31,229.0,Undirected
3,32,74051.0,Undirected
3,33,941.0,Undirected
3,34,770.0,Undirected
3,35,12579.0,Undirected
3,36,16827.0,Undirected
3,37,88781.0,Undirected
3,40,2728.0,Undirected
3,42,14862.0,Undirected
3,44,12222.0,Undirected
3,45,20576.0,Undirected
3,48,913.0,Undirected
3,49,117.0,Undirected
3,51,10734.0,Undirected
3,52,14402.0,Undirected
3,55,527.0,Undirected
3,58,283.0,Undirected
3,59,13.0,Undirected
3,60,16440.0,Undirected
3,62,130.0,Undirected
3,63,60264.0,Undirected
3,66,9.0,Undirected
3,68,7687.0,Undirected
3,69,50501.0,Undirected
3,70,1626.0,Undirected
3,71,11.0,Undirected
3,72,20.0,Undirected
3,73,4907.0,Undirected
3,74,326.0,Undirected
3,76,1826.0,Undirected
3,77,591.0,Undirected
3,78,30.0,Undirected
3,80,3661.0,Undirected
3,82,3950.0,Undirected
3,83,735.0,Undirected
3,84,33282.0,Undirected
3,86,5277.0,Undirected
3,87,33598.0,Undirected
3,88,51704.0,Undirected
3,89,177.0,Undirected
3,90,3311.0,Undirected
3,91,389.0,Undirected
3,96,226.0,Undirected
3,98,3495.0,Undirected
3,102,112.0,Undirected
3,105,118.0,Undirected
3,108,50.0,Undirected
3,109,915.0,Undirected
3,110,142.0,Undirected
3,116,120.0,Undirected
3,117,5950.0,Undirected
3,121,2348.0,Undirected
3,128,7.0,Undirected
3,133,204.0,Undirected
3,134,65.0,Undirected
3,146,2736.0,Undirected
3,148,30.0,Undirected
3,158,133.0,Undirected
3,182,7.0,Undirected
3,193,4.0,Undirected
3,212,45.0,Undirected
3,75,2393.0,Undirected
3,99,2.0,Undirected
3,139,27.0,Undirected
3,150,6.0,Undirected
4,1,89.0,Undirected
4,2,4332.0,Undirected
4,3,24459.0,Undirected
4,5,1903.0,Undirected
4,6,5799.0,Undirected
4,7,30188.0,Undirected
4,8,8854.0,Undirected
4,9,15186.0,Undirected
4,10,5981.0,Undirected
4,11,29271.0,Undirected
4,13,22201.0,Undirected
4,14,715073.0,Undirected
4,15,330924.0,Undirected
4,16,841.0,Undirected
4,17,859.0,Undirected
4,18,2077.0,Undirected
4,19,20837.0,Undirected
4,21,17289.0,Undirected
4,22,111150.0,Undirected
4,23,24407.0,Undirected
4,25,4276.0,Undirected
4,26,1169.0,Undirected
4,27,633188.0,Undirected
4,28,34.0,Undirected
4,29,2087.0,Undirected
4,30,38000.0,Undirected
4,31,8912.0,Undirected
4,32,30859.0,Undirected
4,33,8315.0,Undirected
4,34,1244.0,Undirected
4,35,67157.0,Undirected
4,36,41306.0,Undirected
4,37,32851.0,Undirected
4,39,4449.0,Undirected
4,40,7672.0,Undirected
4,42,5479.0,Undirected
4,44,295986.0,Undirected
4,45,21296.0,Undirected
4,48,82.0,Undirected
4,49,486.0,Undirected
4,51,712.0,Undirected
4,52,3664.0,Undirected
4,53,166.0,Undirected
4,54,450.0,Undirected
4,55,1058.0,Undirected
4,57,4404.0,Undirected
4,58,525.0,Undirected
4,59,1077.0,Undirected
4,60,3210.0,Undirected
4,62,5331.0,Undirected
4,63,17312.0,Undirected
4,66,2845.0,Undirected
4,67,381.0,Undirected
4,68,27303.0,Undirected
4,69,10000.0,Undirected
4,70,11467.0,Undirected
4,71,285.0,Undirected
4,72,21.0,Undirected
4,73,3373.0,Undirected
4,74,118902.0,Undirected
4,76,4241.0,Undirected
4,77,35.0,Undirected
4,78,7791.0,Undirected
4,79,169.0,Undirected
4,80,18142.0,Undirected
4,82,23142.0,Undirected
4,83,361.0,Undirected
4,84,9452.0,Undirected
4,86,1045.0,Undirected
4,87,5851.0,Undirected
4,88,2808.0,Undirected
4,89,533.0,Undirected
4,90,305.0,Undirected
4,91,182.0,Undirected
4,92,152.0,Undirected
4,94,2199.0,Undirected
4,96,3077.0,Undirected
4,97,1491.0,Undirected
4,98,2064.0,Undirected
4,102,962.0,Undirected
4,103,6668.0,Undirected
4,104,1062.0,Undirected
4,105,473.0,Undirected
4,108,924.0,Undirected
4,109,3942.0,Undirected
4,110,1339.0,Undirected
4,112,1193.0,Undirected
4,113,20.0,Undirected
4,115,3.0,Undirected
4,116,178.0,Undirected
4,117,761.0,Undirected
4,118,168.0,Undirected
4,119,3419.0,Undirected
4,121,3262.0,Undirected
4,125,598.0,Undirected
4,128,6.0,Undirected
4,130,197.0,Undirected
4,133,83.0,Undirected
4,134,199.0,Undirected
4,146,1971.0,Undirected
4,148,1892.0,Undirected
4,150,575.0,Undirected
4,155,93.0,Undirected
4,156,482.0,Undirected
4,157,265.0,Undirected
4,158,1620.0,Undirected
4,159,24.0,Undirected
4,166,1.0,Undirected
4,170,766.0,Undirected
4,173,2801.0,Undirected
4,178,7.0,Undirected
4,180,913.0,Undirected
4,181,741.0,Undirected
4,182,207.0,Undirected
4,187,1638.0,Undirected
4,193,120.0,Undirected
4,212,15.0,Undirected
4,213,154.0,Undirected
4,75,134.0,Undirected
4,140,167.0,Undirected
5,1,89.0,Undirected
5,2,3538.0,Undirected
5,3,1800.0,Undirected
5,4,35179.0,Undirected
5,5,1912.0,Undirected
5,6,7954.0,Undirected
5,7,9098004.0,Undirected
5,8,188617.0,Undirected
5,9,8197768.0,Undirected
5,10,711619.0,Undirected
5,11,15111.0,Undirected
5,14,76960.0,Undirected
5,15,394033.0,Undirected
5,16,1590.0,Undirected
5,17,2281.0,Undirected
5,18,88829.0,Undirected
5,21,8172.0,Undirected
5,22,384093.0,Undirected
5,23,444933.0,Undirected
5,25,108730.0,Undirected
5,26,222571.0,Undirected
5,27,801695.0,Undirected
5,28,2942.0,Undirected
5,29,46167.0,Undirected
5,30,819.0,Undirected
5,31,288177.0,Undirected
5,32,990334.0,Undirected
5,33,353998.0,Undirected
5,34,20098.0,Undirected
5,35,999987.0,Undirected
5,36,16017.0,Undirected
5,37,36660.0,Undirected
5,39,600159.0,Undirected
5,40,83750.0,Undirected
5,42,8164.0,Undirected
5,44,299041.0,Undirected
5,45,212261.0,Undirected
5,48,1734.0,Undirected
5,49,39511.0,Undirected
5,51,11890.0,Undirected
5,53,2291.0,Undirected
5,54,968.0,Undirected
5,55,232493.0,Undirected
5,57,591.0,Undirected
5,58,1332.0,Undirected
5,59,605.0,Undirected
5,60,14481.0,Undirected
5,63,772.0,Undirected
5,66,31046.0,Undirected
5,68,19388.0,Undirected
5,69,61.0,Undirected
5,70,85581.0,Undirected
5,71,731.0,Undirected
5,76,39208.0,Undirected
5,78,213056.0,Undirected
5,79,214.0,Undirected
5,80,370495.0,Undirected
5,82,329713.0,Undirected
5,86,14471.0,Undirected
5,87,40.0,Undirected
5,90,6203.0,Undirected
5,92,14694.0,Undirected
5,94,222977.0,Undirected
5,95,9032.0,Undirected
5,96,128023.0,Undirected
5,97,1101.0,Undirected
5,103,161.0,Undirected
5,104,6.0,Undirected
5,105,3414.0,Undirected
5,108,35708.0,Undirected
5,109,37397.0,Undirected
5,110,139.0,Undirected
5,112,73.0,Undirected
5,116,2345.0,Undirected
5,117,356.0,Undirected
5,119,954.0,Undirected
5,120,119.0,Undirected
5,121,13.0,Undirected
5,125,5621.0,Undirected
5,130,1799.0,Undirected
5,134,3453.0,Undirected
5,136,8.0,Undirected
5,146,34581.0,Undirected
5,150,249.0,Undirected
5,155,17.0,Undirected
5,158,6917.0,Undirected
5,170,15.0,Undirected
5,173,16.0,Undirected
5,178,4.0,Undirected
5,187,1005.0,Undirected
5,193,73.0,Undirected
5,213,100.0,Undirected
5,13,6095.0,Undirected
5,19,440669.0,Undirected
5,52,603.0,Undirected
5,73,2901.0,Undirected
5,74,67.0,Undirected
5,83,65.0,Undirected
5,84,27.0,Undirected
5,88,31749.0,Undirected
5,91,46425.0,Undirected
5,102,14.0,Undirected
5,127,4229.0,Undirected
5,133,385.0,Undirected
5,77,105.0,Undirected
5,98,52.0,Undirected
5,128,1.0,Undirected
5,156,5.0,Undirected
5,182,8.0,Undirected
5,212,176.0,Undirected
5,89,11486.0,Undirected
5,62,203.0,Undirected
5,180,53.0,Undirected
5,165,1.0,Undirected
5,67,2.0,Undirected
6,1,94.0,Undirected
6,2,17390.0,Undirected
6,3,454.0,Undirected
6,4,121362.0,Undirected
6,5,115455.0,Undirected
6,6,11895.0,Undirected
6,7,326016.0,Undirected
6,8,108832.0,Undirected
6,9,162478.0,Undirected
6,10,54678.0,Undirected
6,11,47566.0,Undirected
6,13,4220.0,Undirected
6,14,52207.0,Undirected
6,15,206454.0,Undirected
6,16,782.0,Undirected
6,17,1998.0,Undirected
6,18,259607.0,Undirected
6,19,12760.0,Undirected
6,21,1120.0,Undirected
6,22,298578.0,Undirected
6,23,691385.0,Undirected
6,25,2432.0,Undirected
6,26,115644.0,Undirected
6,27,149185.0,Undirected
6,28,226.0,Undirected
6,29,77063.0,Undirected
6,30,3345.0,Undirected
6,31,196932.0,Undirected
6,32,40691.0,Undirected
6,33,119224.0,Undirected
6,34,18318.0,Undirected
6,35,91197.0,Undirected
6,36,4047.0,Undirected
6,37,32197.0,Undirected
6,39,63827.0,Undirected
6,40,2978.0,Undirected
6,42,7900.0,Undirected
6,44,186011.0,Undirected
6,45,3366548.0,Undirected
6,48,58.0,Undirected
6,49,4861.0,Undirected
6,51,196.0,Undirected
6,52,545.0,Undirected
6,54,20713.0,Undirected
6,55,148828.0,Undirected
6,58,15188.0,Undirected
6,59,4501.0,Undirected
6,60,1165.0,Undirected
6,62,231.0,Undirected
6,63,9491.0,Undirected
6,66,126418.0,Undirected
6,67,5.0,Undirected
6,68,3469.0,Undirected
6,69,1280.0,Undirected
6,70,3574.0,Undirected
6,71,11390.0,Undirected
6,72,4.0,Undirected
6,73,1246.0,Undirected
6,74,1081.0,Undirected
6,75,10335.0,Undirected
6,76,394113.0,Undirected
6,77,9.0,Undirected
6,78,136999.0,Undirected
6,79,31.0,Undirected
6,80,34186.0,Undirected
6,82,24066.0,Undirected
6,83,97.0,Undirected
6,84,2267.0,Undirected
6,86,704.0,Undirected
6,87,1718.0,Undirected
6,88,443.0,Undirected
6,89,25311.0,Undirected
6,90,295.0,Undirected
6,92,1162.0,Undirected
6,94,255194.0,Undirected
6,95,6.0,Undirected
6,96,38725.0,Undirected
6,97,537.0,Undirected
6,98,215.0,Undirected
6,99,35.0,Undirected
6,102,204.0,Undirected
6,103,2031.0,Undirected
6,104,496.0,Undirected
6,105,11074.0,Undirected
6,108,191435.0,Undirected
6,109,43636.0,Undirected
6,110,181904.0,Undirected
6,112,2914.0,Undirected
6,113,8755.0,Undirected
6,116,102.0,Undirected
6,119,94918.0,Undirected
6,120,29255.0,Undirected
6,121,424.0,Undirected
6,125,27.0,Undirected
6,127,255.0,Undirected
6,128,1616.0,Undirected
6,133,139.0,Undirected
6,134,14978.0,Undirected
6,136,39.0,Undirected
6,138,1.0,Undirected
6,146,8562.0,Undirected
6,148,17.0,Undirected
6,150,343.0,Undirected
6,156,948.0,Undirected
6,158,17577.0,Undirected
6,173,5906.0,Undirected
6,178,287.0,Undirected
6,181,61.0,Undirected
6,182,19.0,Undirected
6,187,11351.0,Undirected
6,212,10.0,Undirected
6,91,57690.0,Undirected
6,117,767.0,Undirected
6,130,4.0,Undirected
6,157,15.0,Undirected
6,159,7559.0,Undirected
6,170,1053.0,Undirected
6,140,28.0,Undirected
7,1,6006.0,Undirected
7,2,128978.0,Undirected
7,3,15024.0,Undirected
7,4,33109.0,Undirected
7,5,48220.0,Undirected
7,6,135425.0,Undirected
7,11,26164.0,Undirected
7,13,4069.0,Undirected
7,14,72883.0,Undirected
7,15,389846.0,Undirected
7,16,2484.0,Undirected
7,17,24173.0,Undirected
7,18,160213.0,Undirected
7,19,3391.0,Undirected
7,21,4805.0,Undirected
7,22,73481.0,Undirected
7,23,1042734.0,Undirected
7,25,8048.0,Undirected
7,26,146876.0,Undirected
7,27,293366.0,Undirected
7,28,5751.0,Undirected
7,29,50782.0,Undirected
7,30,74921.0,Undirected
7,31,350667.0,Undirected
7,32,52581.0,Undirected
7,33,11872.0,Undirected
7,34,145230.0,Undirected
7,35,51317.0,Undirected
7,36,12350.0,Undirected
7,37,13747.0,Undirected
7,39,92566.0,Undirected
7,40,18154.0,Undirected
7,42,6405.0,Undirected
7,44,152328.0,Undirected
7,45,934162.0,Undirected
7,48,502.0,Undirected
7,49,8357.0,Undirected
7,51,556.0,Undirected
7,52,3180.0,Undirected
7,53,44.0,Undirected
7,54,2944.0,Undirected
7,55,7130.0,Undirected
7,57,919.0,Undirected
7,58,2083.0,Undirected
7,59,1270.0,Undirected
7,60,5979.0,Undirected
7,62,859.0,Undirected
7,63,15071.0,Undirected
7,66,3426.0,Undirected
7,67,3321.0,Undirected
7,68,2133.0,Undirected
7,69,3998.0,Undirected
7,70,13555.0,Undirected
7,71,1868.0,Undirected
7,72,1891.0,Undirected
7,73,1012.0,Undirected
7,74,542.0,Undirected
7,75,510.0,Undirected
7,76,19331.0,Undirected
7,77,85.0,Undirected
7,78,6205.0,Undirected
7,79,215.0,Undirected
7,80,28245.0,Undirected
7,82,6509.0,Undirected
7,83,821.0,Undirected
7,84,27815.0,Undirected
7,86,1725.0,Undirected
7,87,2385.0,Undirected
7,88,1385.0,Undirected
7,89,523.0,Undirected
7,90,386.0,Undirected
7,91,594.0,Undirected
7,92,395.0,Undirected
7,94,3794.0,Undirected
7,95,1798.0,Undirected
7,96,13429.0,Undirected
7,97,495.0,Undirected
7,98,177.0,Undirected
7,99,1073.0,Undirected
7,100,105.0,Undirected
7,102,646.0,Undirected
7,103,624.0,Undirected
7,104,814.0,Undirected
7,105,21294.0,Undirected
7,108,4684.0,Undirected
7,109,63769.0,Undirected
7,110,4991.0,Undirected
7,112,966.0,Undirected
7,113,383.0,Undirected
7,115,102.0,Undirected
7,116,418.0,Undirected
7,117,3443.0,Undirected
7,118,106.0,Undirected
7,119,1896.0,Undirected
7,120,81.0,Undirected
7,121,413.0,Undirected
7,125,812.0,Undirected
7,127,166.0,Undirected
7,128,69.0,Undirected
7,130,341.0,Undirected
7,133,58.0,Undirected
7,134,912.0,Undirected
7,136,379.0,Undirected
7,138,104.0,Undirected
7,139,915.0,Undirected
7,146,17285.0,Undirected
7,148,162.0,Undirected
7,150,4483.0,Undirected
7,155,1155.0,Undirected
7,156,1730.0,Undirected
7,157,1401.0,Undirected
7,158,2045.0,Undirected
7,159,1583.0,Undirected
7,165,71.0,Undirected
7,166,365.0,Undirected
7,168,2862.0,Undirected
7,170,2374.0,Undirected
7,173,1313.0,Undirected
7,178,7.0,Undirected
7,180,8878.0,Undirected
7,181,59.0,Undirected
7,182,2698.0,Undirected
7,187,738.0,Undirected
7,190,627.0,Undirected
7,193,415.0,Undirected
7,212,54.0,Undirected
7,213,427.0,Undirected
8,1,1.0,Undirected
8,2,19570.0,Undirected
8,3,20.0,Undirected
8,4,1086.0,Undirected
8,5,105.0,Undirected
8,6,6701.0,Undirected
8,9,30238.0,Undirected
8,10,5618.0,Undirected
8,11,8.0,Undirected
8,13,3.0,Undirected
8,14,4491.0,Undirected
8,15,597.0,Undirected
8,16,330.0,Undirected
8,17,445.0,Undirected
8,18,1269.0,Undirected
8,19,433.0,Undirected
8,21,624.0,Undirected
8,22,637.0,Undirected
8,23,12818.0,Undirected
8,25,243.0,Undirected
8,26,14732.0,Undirected
8,27,6400.0,Undirected
8,28,9.0,Undirected
8,29,1435.0,Undirected
8,30,3.0,Undirected
8,31,8198.0,Undirected
8,32,55.0,Undirected
8,34,8370.0,Undirected
8,35,26.0,Undirected
8,36,539.0,Undirected
8,37,1235.0,Undirected
8,39,548.0,Undirected
8,40,223.0,Undirected
8,44,13708.0,Undirected
8,45,36675.0,Undirected
8,48,2.0,Undirected
8,49,8.0,Undirected
8,51,15.0,Undirected
8,52,14.0,Undirected
8,55,9.0,Undirected
8,57,91.0,Undirected
8,58,58.0,Undirected
8,59,19.0,Undirected
8,60,1.0,Undirected
8,62,50.0,Undirected
8,63,1223.0,Undirected
8,66,165.0,Undirected
8,69,28.0,Undirected
8,70,495.0,Undirected
8,71,7.0,Undirected
8,75,58.0,Undirected
8,76,144.0,Undirected
8,80,280.0,Undirected
8,82,246.0,Undirected
8,83,3.0,Undirected
8,84,16.0,Undirected
8,86,5.0,Undirected
8,87,1.0,Undirected
8,92,13.0,Undirected
8,94,460.0,Undirected
8,97,24.0,Undirected
8,98,1.0,Undirected
8,99,102.0,Undirected
8,100,6.0,Undirected
8,102,1.0,Undirected
8,103,42.0,Undirected
8,104,134.0,Undirected
8,105,1258.0,Undirected
8,108,377.0,Undirected
8,109,615.0,Undirected
8,110,551.0,Undirected
8,112,205.0,Undirected
8,115,12.0,Undirected
8,117,2.0,Undirected
8,119,126.0,Undirected
8,120,2.0,Undirected
8,121,4.0,Undirected
8,127,62.0,Undirected
8,128,19.0,Undirected
8,130,125.0,Undirected
8,133,9.0,Undirected
8,134,33.0,Undirected
8,136,41.0,Undirected
8,138,17.0,Undirected
8,139,594.0,Undirected
8,140,248775.0,Undirected
8,146,1.0,Undirected
8,150,226.0,Undirected
8,156,208.0,Undirected
8,157,22.0,Undirected
8,158,29.0,Undirected
8,166,57.0,Undirected
8,168,2.0,Undirected
8,170,527.0,Undirected
8,173,289.0,Undirected
8,180,674.0,Undirected
8,182,1009.0,Undirected
8,193,250.0,Undirected
8,96,12.0,Undirected
8,148,3.0,Undirected
8,155,5.0,Undirected
8,159,1.0,Undirected
8,74,13.0,Undirected
8,88,26.0,Undirected
9,1,5987.0,Undirected
9,2,102167.0,Undirected
9,3,14412.0,Undirected
9,4,29695.0,Undirected
9,5,47452.0,Undirected
9,6,106324.0,Undirected
9,8,567734.0,Undirected
9,9,6804.0,Undirected
9,10,168026.0,Undirected
9,11,22694.0,Undirected
9,13,4041.0,Undirected
9,14,63176.0,Undirected
9,15,378230.0,Undirected
9,16,2068.0,Undirected
9,17,22838.0,Undirected
9,18,150253.0,Undirected
9,19,2930.0,Undirected
9,21,4138.0,Undirected
9,22,70010.0,Undirected
9,23,888294.0,Undirected
9,25,7781.0,Undirected
9,26,112898.0,Undirected
9,27,269090.0,Undirected
9,28,5739.0,Undirected
9,29,47058.0,Undirected
9,30,74829.0,Undirected
9,31,298005.0,Undirected
9,32,52388.0,Undirected
9,33,11581.0,Undirected
9,34,120891.0,Undirected
9,35,50467.0,Undirected
9,36,11597.0,Undirected
9,37,11092.0,Undirected
9,39,87144.0,Undirected
9,40,17914.0,Undirected
9,42,6398.0,Undirected
9,44,131113.0,Undirected
9,45,778079.0,Undirected
9,48,500.0,Undirected
9,49,8251.0,Undirected
9,51,539.0,Undirected
9,52,3164.0,Undirected
9,53,44.0,Undirected
9,54,2943.0,Undirected
9,55,6797.0,Undirected
9,57,623.0,Undirected
9,58,1882.0,Undirected
9,59,1246.0,Undirected
9,60,5973.0,Undirected
9,62,807.0,Undirected
9,63,13158.0,Undirected
9,66,3257.0,Undirected
9,67,3320.0,Undirected
9,68,2117.0,Undirected
9,69,3941.0,Undirected
9,70,12546.0,Undirected
9,71,1843.0,Undirected
9,72,1891.0,Undirected
9,73,974.0,Undirected
9,74,93.0,Undirected
9,75,452.0,Undirected
9,76,18694.0,Undirected
9,77,84.0,Undirected
9,78,6205.0,Undirected
9,79,205.0,Undirected
9,80,19345.0,Undirected
9,82,5846.0,Undirected
9,83,816.0,Undirected
9,84,27241.0,Undirected
9,86,1652.0,Undirected
9,87,2362.0,Undirected
9,88,1141.0,Undirected
9,89,523.0,Undirected
9,90,386.0,Undirected
9,91,594.0,Undirected
9,92,382.0,Undirected
9,94,3194.0,Undirected
9,95,1793.0,Undirected
9,96,13154.0,Undirected
9,97,364.0,Undirected
9,98,176.0,Undirected
9,99,959.0,Undirected
9,100,99.0,Undirected
9,102,338.0,Undirected
9,103,556.0,Undirected
9,104,680.0,Undirected
9,105,18381.0,Undirected
9,108,4172.0,Undirected
9,109,61177.0,Undirected
9,110,4127.0,Undirected
9,112,616.0,Undirected
9,113,383.0,Undirected
9,115,90.0,Undirected
9,116,418.0,Undirected
9,117,3441.0,Undirected
9,118,106.0,Undirected
9,119,1770.0,Undirected
9,120,79.0,Undirected
9,121,409.0,Undirected
9,125,811.0,Undirected
9,127,104.0,Undirected
9,128,45.0,Undirected
9,130,139.0,Undirected
9,133,49.0,Undirected
9,134,629.0,Undirected
9,136,313.0,Undirected
9,138,75.0,Undirected
9,139,256.0,Undirected
9,140,16213.0,Undirected
9,146,17279.0,Undirected
9,148,159.0,Undirected
9,150,3599.0,Undirected
9,156,611.0,Undirected
9,157,1379.0,Undirected
9,158,1975.0,Undirected
9,159,1582.0,Undirected
9,165,71.0,Undirected
9,166,308.0,Undirected
9,168,2830.0,Undirected
9,170,1844.0,Undirected
9,173,1024.0,Undirected
9,178,7.0,Undirected
9,180,8204.0,Undirected
9,181,59.0,Undirected
9,182,1656.0,Undirected
9,187,733.0,Undirected
9,190,627.0,Undirected
9,193,149.0,Undirected
9,212,54.0,Undirected
9,213,427.0,Undirected
10,1,18.0,Undirected
10,2,7234.0,Undirected
10,3,592.0,Undirected
10,4,2328.0,Undirected
10,5,663.0,Undirected
10,6,22344.0,Undirected
10,8,59684.0,Undirected
10,9,92574.0,Undirected
10,11,3462.0,Undirected
10,13,25.0,Undirected
10,14,5206.0,Undirected
10,15,11019.0,Undirected
10,16,86.0,Undirected
10,17,890.0,Undirected
10,18,8691.0,Undirected
10,21,43.0,Undirected
10,22,2834.0,Undirected
10,23,141622.0,Undirected
10,25,23.0,Undirected
10,26,19246.0,Undirected
10,27,17876.0,Undirected
10,28,3.0,Undirected
10,29,2289.0,Undirected
10,30,89.0,Undirected
10,31,44464.0,Undirected
10,32,138.0,Undirected
10,33,291.0,Undirected
10,34,15969.0,Undirected
10,35,824.0,Undirected
10,36,214.0,Undirected
10,37,1415.0,Undirected
10,39,4874.0,Undirected
10,44,7482.0,Undirected
10,45,119223.0,Undirected
10,49,98.0,Undirected
10,52,2.0,Undirected
10,54,1.0,Undirected
10,55,324.0,Undirected
10,58,143.0,Undirected
10,59,5.0,Undirected
10,63,690.0,Undirected
10,67,1.0,Undirected
10,68,16.0,Undirected
10,69,29.0,Undirected
10,70,514.0,Undirected
10,73,38.0,Undirected
10,76,493.0,Undirected
10,77,1.0,Undirected
10,79,10.0,Undirected
10,80,8620.0,Undirected
10,82,416.0,Undirected
10,84,558.0,Undirected
10,87,22.0,Undirected
10,88,218.0,Undirected
10,95,5.0,Undirected
10,96,263.0,Undirected
10,97,107.0,Undirected
10,99,12.0,Undirected
10,102,307.0,Undirected
10,105,1655.0,Undirected
10,108,135.0,Undirected
10,109,1976.0,Undirected
10,110,313.0,Undirected
10,112,145.0,Undirected
10,130,77.0,Undirected
10,134,250.0,Undirected
10,136,25.0,Undirected
10,138,12.0,Undirected
10,139,65.0,Undirected
10,140,2999.0,Undirected
10,146,5.0,Undirected
10,150,658.0,Undirected
10,155,1150.0,Undirected
10,156,903.0,Undirected
10,158,41.0,Undirected
10,168,30.0,Undirected
10,170,3.0,Undirected
10,182,32.0,Undirected
10,187,5.0,Undirected
10,193,16.0,Undirected
10,19,28.0,Undirected
10,40,17.0,Undirected
10,42,7.0,Undirected
10,60,5.0,Undirected
10,62,2.0,Undirected
10,71,7.0,Undirected
10,74,436.0,Undirected
10,83,2.0,Undirected
10,94,140.0,Undirected
10,103,26.0,Undirected
10,125,1.0,Undirected
10,128,5.0,Undirected
10,57,205.0,Undirected
10,51,2.0,Undirected
